Meeting / File Date,Name,File Type,Media Purpose,Download Link
6/24/2008,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20080624ccm.pdf
7/8/2008,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20080708ccm.pdf
7/28/2008,City Council Emergency Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20080728emergency_ccm.pdf
7/29/2008,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20080729ccm.pdf
8/12/2008,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20080812ccm.pdf
8/19/2008,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20080819ccm.pdf
9/2/2008,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20080902ccm.pdf
9/9/2008,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20080909ccw.pdf
9/16/2008,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20080916ccm.pdf
9/23/2008,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20080923ccm.pdf
9/29/2008,City Council Appeal Hearing Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20080929appeal_hearing.pdf
10/7/2008,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20081007ccm.pdf
10/14/2008,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20081014ccw.pdf
10/21/2008,City Council Appeal Hearing Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20081021appeal_hearing.pdf
10/21/2008,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20081021ccm.pdf
10/28/2008,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20081028ccw.pdf
11/18/2008,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20081118ccm.pdf
11/25/2008,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20081125ccm.pdf
12/2/2008,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20081202cca.pdf
12/16/2008,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20081216ccm.pdf
12/11/2007,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20071211ccm.pdf
12/4/2007,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20071204ccm.pdf
11/20/2007,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20071120ccm.pdf
11/13/2007,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20071113ccm.pdf
10/23/2007,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20071023ccm.pdf
10/9/2007,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20071009cwm.pdf
10/2/2007,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20071002ccm.pdf
9/25/2007,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20070925cwm.pdf
9/18/2007,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20070918ccm.pdf
9/4/2007,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20070904ccm.pdf
8/27/2007,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20070827ccm.pdf
8/21/2007,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20070821ccm.pdf
8/7/2007,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20070807ccm.pdf
7/17/2007,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20070717ccm.pdf
7/10/2007,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20070710ccm.pdf
6/19/2007,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20070619ccm.pdf
6/12/2007,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20070612cwm.pdf
6/5/2007,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20070605ccm.pdf
5/22/2007,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20070522cwm.pdf
5/15/2007,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20070515ccm.pdf
5/8/2007,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20070508cwm.pdf
5/1/2007,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20070501ccm.pdf
4/24/2007,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20070424cwm.pdf
4/17/2007,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20070417ccm.pdf
4/10/2007,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20070410cwm.pdf
4/3/2007,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20070403ccm.pdf
3/27/2007,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20070327cwm.pdf
3/20/2007,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20070320ccm.pdf
3/13/2007,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20070313cwm.pdf
3/6/2007,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20070306ccm.pdf
2/27/2007,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20070227cwm.pdf
2/20/2007,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20070220ccm.pdf
2/13/2007,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20070213cwm.pdf
2/6/2007,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20070206ccm.pdf
1/23/2007,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20070123cwm.pdf
1/16/2007,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20070116ccm.pdf
1/9/2007,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20070109cwm.pdf
1/2/2007,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2007/20070102ccm.pdf
1/3/2006,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20060103cm.pdf
1/10/2006,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20060110cwm.pdf
1/17/2006,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20060117cm.pdf
1/24/2006,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20060124cwm.pdf
